feature,importance
categorical__Ticket_364849,0.0010486014004632911
categorical__Ticket_3101265,0.0010408952217239398
categorical__Ticket_347080,0.0010351468231767978
categorical__Ticket_392091,0.001032672107423126
categorical__Ticket_3101278,0.0010277818612607007
categorical__Ticket_STON/O2. 3101271,0.0010229057881488395
categorical__Cabin_C47,0.0010214359446866917
categorical__Ticket_STON/O2. 3101290,0.0010084357325141652
categorical__Cabin_C52,0.0010071283626443466
categorical__Cabin_E77,0.001002391260231851
categorical__Ticket_S.O./P.P. 3,0.000995313049987302
categorical__Ticket_345763,0.0009903003134937914
categorical__Ticket_347071,0.0009839532029044615
categorical__Ticket_11751,0.0009782456415277391
categorical__Ticket_3101298,0.0009706459524921285
categorical__Ticket_248698,0.0009518130225978756
categorical__Ticket_349245,0.0009383382290133123
categorical__Ticket_PC 17755,0.0009245853429908954
categorical__Ticket_11774,0.000921104459812925
categorical__Ticket_231919,0.0009108563172441243
categorical__Ticket_W./C. 6607,0.0009056184990319952
categorical__Cabin_A26,0.0009056055569083324
categorical__Ticket_220845,0.0009011223799940457
categorical__Ticket_F.C.C. 13529,0.0009009344223324299
categorical__Ticket_113806,0.0008991862403417427
categorical__Ticket_347470,0.0008905863237485703
categorical__Ticket_2650,0.0008789691474822127
categorical__Ticket_349256,0.0008745282393954244
categorical__Ticket_C.A. 31026,0.0008668093010281697
categorical__Ticket_13214,0.0008647156900280134
categorical__Cabin_C124,0.0008629725750324191
categorical__Ticket_330919,0.0008613872288511678
categorical__Ticket_C.A. 33595,0.0008543492780854194
categorical__Cabin_C92,0.0008489212393182169
categorical__Ticket_27042,0.0008467592595475765
categorical__Ticket_230136,0.0008455441624966192
categorical__Ticket_35281,0.0008385114234392157
categorical__Ticket_2625,0.0008344831491287712
categorical__Ticket_2626,0.0008337265349440274
categorical__Ticket_PC 17558,0.0008328031201500411
categorical__Cabin_C93,0.0008320218947143925
categorical__Cabin_F4,0.0008293519645007727
categorical__Cabin_A31,0.0008186673944061966
categorical__Ticket_2627,0.0008057709404514209
categorical__Ticket_335677,0.000802018859874977
categorical__Ticket_4133,0.0008016565925103764
categorical__Ticket_111369,0.0007964764477782527
categorical__Ticket_11765,0.0007907706258147597
categorical__Ticket_W./C. 14258,0.0007831374151254967
categorical__Ticket_110465,0.0007729514916016564
categorical__Ticket_11753,0.0007725576102734374
categorical__Ticket_330958,0.0007504062504004965
categorical__Ticket_250648,0.0007379561966213209
categorical__Ticket_367230,0.0007296647054831261
categorical__Ticket_PC 17485,0.0007196432161704522
categorical__Ticket_4136,0.0007140731605817945
categorical__Cabin_B50,0.0007070766772450388
categorical__Cabin_E121,0.0007022392097759808
categorical__Ticket_33638,0.0006993363492615533
categorical__Ticket_382652,0.0006967107824814043
categorical__Cabin_C148,0.0006946898509658457
categorical__Ticket_250644,0.0006946093462761266
categorical__Cabin_B101,0.0006891265322704902
categorical__Ticket_19877,0.0006774624143869018
categorical__Ticket_2649,0.0006700492482719539
categorical__Cabin_D33,0.0006603622522542024
categorical__Ticket_14311,0.0006578692865233575
categorical__Ticket_2659,0.0006568345347789674
categorical__Ticket_2687,0.0006556530673805497
categorical__Ticket_13213,0.0006535934084360914
categorical__Ticket_36866,0.0006419173571739386
categorical__Ticket_330959,0.000640511322453944
categorical__Ticket_PC 17473,0.0006349005118844327
categorical__Ticket_347073,0.0006277912596749825
categorical__Ticket_240929,0.000621638027168289
categorical__Cabin_C82,0.0006200685874808737
categorical__Ticket_35273,0.0006100292084971999
categorical__Ticket_17764,0.000609504760496521
categorical__Ticket_315153,0.0006064643189179816
categorical__Cabin_C91,0.0006049469455474528
categorical__Ticket_PC 17604,0.0005957776222703727
categorical__Cabin_D17,0.0005957675797476614
categorical__Ticket_C.A. 2315,0.0005912725092069353
categorical__Ticket_PC 17758,0.0005884406824388185
categorical__Ticket_230434,0.0005869676013268443
categorical__Cabin_D,0.0005791349122765649
categorical__Cabin_B28,0.0005785059100931067
categorical__Ticket_2667,0.0005737150348763876
categorical__Ticket_17453,0.0005729166646900144
categorical__Ticket_PC 17759,0.0005714385003345438
categorical__Ticket_12749,0.0005690346526616273
categorical__Ticket_35852,0.0005674320382220627
categorical__Ticket_248733,0.0005578040596886038
categorical__Cabin_A20,0.0005574655682494153
categorical__Cabin_A34,0.0005552218606215812
categorical__Cabin_D30,0.0005542495104500086
categorical__Ticket_SC/AH 3085,0.0005517435681937458
categorical__Ticket_113509,0.000551660833645645
categorical__Ticket_PC 17609,0.0005440477056161174
categorical__Ticket_SC/Paris 2123,0.0005419765763573049
categorical__Cabin_B30,0.0005414209378172667
categorical__Cabin_C46,0.0005409826901986113
categorical__Cabin_B86,0.0005384237787242849
categorical__Ticket_330980,0.0005353634320345294
categorical__Ticket_236852,0.0005314229927287021
categorical__Cabin_C125,0.0005301494221297518
categorical__Ticket_PC 17596,0.0005210179515028986
categorical__Cabin_E50,0.0005182316057522636
categorical__Ticket_370373,0.0005062225880264893
categorical__Cabin_A10,0.000506036751321223
categorical__Ticket_13049,0.0005028240429635607
categorical__Ticket_110413,0.0004989249619046241
categorical__Cabin_C65,0.0004966597598811058
categorical__Ticket_370375,0.0004923246346020552
categorical__Ticket_31418,0.0004910893399935865
categorical__Ticket_SC/PARIS 2149,0.0004903793620798482
categorical__Ticket_237668,0.0004874185424005178
categorical__Ticket_PC 17601,0.0004869632055998509
categorical__Ticket_14312,0.0004869445587548937
categorical__Ticket_14313,0.0004834211324793708
categorical__Ticket_223596,0.00048189478860528857
categorical__Ticket_113501,0.00048059162034880796
categorical__Ticket_35851,0.0004783259325780614
categorical__Cabin_B37,0.00047645011770057233
categorical__Ticket_392096,0.0004761774841410759
categorical__Ticket_248706,0.0004737794189478797
categorical__Ticket_2926,0.00047146196018327426
categorical__Ticket_28220,0.000468033299062143
categorical__Cabin_B19,0.0004675417126912345
categorical__Ticket_113503,0.000465753969093353
categorical__Cabin_D10 D12,0.00046560533939061263
categorical__Ticket_330931,0.0004590194355421569
categorical__Ticket_29750,0.000457824374059917
categorical__Ticket_36928,0.0004563214391377058
categorical__Ticket_228414,0.00045463090677194256
categorical__Ticket_PC 17757,0.0004524283437071045
categorical__Cabin_C118,0.0004507276631756801
categorical__Ticket_PC 17760,0.0004486293534430398
categorical__Cabin_B58 B60,0.0004483408716662351
categorical__Ticket_PC 17483,0.00044793174704042533
categorical__Ticket_PC 17582,0.0004477793195038325
categorical__Cabin_D49,0.00044601981876666983
categorical__Ticket_244367,0.00044393815792003193
categorical__Ticket_36947,0.0004414584100927772
categorical__Ticket_113043,0.0004263999758010339
categorical__Cabin_E67,0.0004260423948958041
categorical__Ticket_113773,0.00042452372283581334
categorical__Ticket_234604,0.0004141743691403711
categorical__Ticket_PC 17761,0.00040694869003100436
categorical__Ticket_CA 2144,0.000405789020603246
categorical__Ticket_113792,0.00039752348090068716
categorical__Cabin_C70,0.00039665454454225994
categorical__Ticket_330923,0.00039545457504386
categorical__Ticket_113798,0.0003949656201722351
